Egonet,Node,DegreeCentrality,EigenvectorCentrality,Gender
aaaab,5,0.07142857142857142,0.10065305350352706,0
aaaab,8,0.42857142857142855,0.4513544969338533,1
aaaab,9,0.7857142857142857,0.6347007150056087,0
aaaab,21,0.35714285714285715,0.35866840944080985,1
aaaab,17,0.35714285714285715,0.3479225293099519,1
aaaab,13,0.42857142857142855,0.41524244788800446,0
aaaab,26,0.5,0.489327789417953,0
aaaab,18,0.21428571428571427,0.2265862950975384,0
aaaab,16,0.2857142857142857,0.33821759573861915,1
aaaab,25,0.35714285714285715,0.3333478860956854,1
aaaab,10,0.07142857142857142,0.10065305350352703,0
aaaab,24,0.07142857142857142,0.10065305350352703,1
aaaac,0,0.631578947368421,0.4971807102422238,0
aaaac,3,0.631578947368421,0.495480344060308,1
aaaac,7,0.9473684210526315,0.6305612464429592,0
aaaac,10,0.7368421052631579,0.477475232415473,1
aaaac,9,2,0.9999999999999999,1
aaaac,12,1.1578947368421053,0.7930998201983059,0
aaaac,5,0.7368421052631579,0.5648950913132653,1
aaaac,1,0.7368421052631579,0.5797681130665384,0
aaaac,17,0.631578947368421,0.5094553717756874,1
aaaac,16,0.8421052631578947,0.612097244582232,0
aaaac,18,0.631578947368421,0.5094553717756874,1
aaaac,2,0.3157894736842105,0.18510013397635544,0
aaaac,6,0.21052631578947367,0.14873335378451186,1
aaaac,15,0.5263157894736842,0.32613551720347617,1
aaaac,14,0.7368421052631579,0.5496462900377871,1
aaaac,4,0.21052631578947367,0.1435142042636486,1
aaaac,19,0.21052631578947367,0.14351420426364864,0
aaaac,11,0.42105263157894735,0.30549533687745817,1
aaaac,8,0.10526315789473684,0.12550277358037948,0
aaaac,13,0.42105263157894735,0.3708410365252533,1
aaaad,0,0.2747826086956522,0.1487435795902907,1
aaaad,165,0.2991304347826087,0.2534523826271105,0
aaaad,465,0.33043478260869563,0.21030321639774063,1
aaaad,176,0.2747826086956522,0.1758263426732034,1
aaaad,466,0.24347826086956523,0.21975914141045655,1
aaaad,369,0.09391304347826086,0.06020349143441177,0
aaaad,540,0.06608695652173913,0.045167875626636676,1
aaaad,142,0.18782608695652173,0.1070285402515943,0
aaaad,428,0.3026086956521739,0.24367069226915042,0
aaaad,508,0.06956521739130435,0.05056873999548148,1
aaaad,393,0.04521739130434783,0.027854295877832662,1
aaaad,509,0.17739130434782607,0.1140829446960183,0
aaaad,5,0.18782608695652173,0.18453911808476517,0
aaaad,362,0.17391304347826086,0.0980586015592469,0
aaaad,291,0.16695652173913045,0.14309778527215705,0
aaaad,147,0.08695652173913043,0.06265136441791137,0
aaaad,292,0.12521739130434784,0.07523485511153252,0
aaaad,110,0.16,0.08610267646806966,1
aaaad,572,0.5739130434782609,0.4322496426406928,1
aaaad,215,0.21217391304347827,0.13521225054402167,1
aaaad,381,0.20869565217391303,0.15060285856918965,0
aaaad,153,0.03130434782608696,0.023969479773997587,0
aaaad,570,0.11478260869565217,0.073101656017582,1
aaaad,260,0.06956521739130435,0.036469985844713365,0
aaaad,227,0.1808695652173913,0.15159309731983053,0
aaaad,397,0.22260869565217392,0.18546120438697475,1
aaaad,552,0.16695652173913045,0.09695139477245333,1
aaaad,39,0.46260869565217394,0.3003653016670633,0
aaaad,331,0.10086956521739131,0.058351762420238325,1
aaaad,470,0.15304347826086956,0.09953200480496596,0
aaaad,302,0.13217391304347825,0.0964595146264834,1
aaaad,468,0.04869565217391304,0.038999354856101634,1
aaaad,372,0.14608695652173914,0.10470036704442502,0
aaaad,557,0.1356521739130435,0.10118608737890875,0
aaaad,334,0.05217391304347826,0.03672766873480877,0
aaaad,119,0.11478260869565217,0.07217936694361973,1
aaaad,323,0.10434782608695652,0.08858238117846037,0
aaaad,374,0.5182608695652174,0.42214373739847394,0
aaaad,209,0.17739130434782607,0.13475198185803883,0
aaaad,376,0.21217391304347827,0.11783245844312007,1
aaaad,403,0.48695652173913045,0.3407682193983819,0
aaaad,230,0.20521739130434782,0.1664972399202036,0
aaaad,267,0.17391304347826086,0.15504589146521203,0
aaaad,45,0.16,0.11348927037162912,1
aaaad,16,0.08347826086956522,0.05554753220638718,0
aaaad,429,0.2852173913043478,0.20440665193477175,1
aaaad,490,0.05565217391304348,0.036030338484752934,1
aaaad,517,0.21913043478260869,0.1826598669639362,1
aaaad,309,0.14608695652173914,0.11169160094761724,0
aaaad,338,0.22608695652173913,0.1880517001867521,1
aaaad,351,0.05565217391304348,0.03824783126237126,0
aaaad,18,0.1565217391304348,0.08565407645351275,0
aaaad,60,0.16695652173913045,0.12106037165925816,1
aaaad,444,0.37565217391304345,0.2779392909572994,1
aaaad,446,0.17739130434782607,0.10956166844378087,1
aaaad,520,0.20521739130434782,0.20013329380044273,1
aaaad,412,0.2782608695652174,0.16444733122107524,0
aaaad,68,0.20173913043478262,0.11099669815441411,0
aaaad,521,0.2573913043478261,0.18838781680970645,0
aaaad,408,0.03130434782608696,0.03155160019430551,0
aaaad,199,0.08,0.056137463906747176,0
aaaad,494,0.1565217391304348,0.08233078775427143,1
aaaad,526,0.06956521739130435,0.04789212697249085,0
aaaad,113,0.11130434782608696,0.09985094478742221,0
aaaad,496,0.08347826086956522,0.057986477916127356,0
aaaad,417,0.5113043478260869,0.44658042570356854,0
aaaad,569,0.24,0.1862008029118695,0
aaaad,368,0.07652173913043478,0.05389463406124002,0
aaaad,498,0.10434782608695652,0.07844929394421239,0
aaaad,172,0.10782608695652174,0.09431505348543115,0
aaaad,455,0.04521739130434783,0.04223932478765121,0
aaaad,59,0.05217391304347826,0.03317814233360803,1
aaaad,226,0.05565217391304348,0.05191093344479921,0
aaaad,189,0.13217391304347825,0.06643944584850058,1
aaaad,281,0.3130434782608696,0.22305828361299251,1
aaaad,25,2,1,1
aaaad,174,0.21565217391304348,0.13076018172174,0
aaaad,350,0.13217391304347825,0.08653729713133636,0
aaaad,388,0.08347826086956522,0.04497643816147228,0
aaaad,43,0.3373913043478261,0.28358279460488595,0
aaaad,1,0.010434782608695653,0.015320560643792109,0
aaaad,152,0.17391304347826086,0.1238707906501863,1
aaaad,126,0.03826086956521739,0.025969124666561785,1
aaaad,2,0.3026086956521739,0.23484942227204522,1
aaaad,287,0.24347826086956523,0.21610119533843633,0
aaaad,49,0.1356521739130435,0.13439801424719308,1
